,latitude,longitude,borough,zipcode,spc_latin,tree_diameter,wires,sidew_crack_raise,latBin,lonBin,lonDistance,latDistance,avg_health_round,avg_health,landuseavg,numfloorsavg
31,40.74616,-73.996553,Manhattan,10001,gleditsia triacanthos,11,0,0,40.746,-73.9965,5.300000000829641e-05,0.0001600000000010482,3.0,2.6,3.0,6.0
32,40.74623,-73.996722,Manhattan,10001,ulmus americana,11,0,0,40.746,-73.9965,0.00022200000000793807,0.00022999999999484544,3.0,2.6,3.0,6.0
33,40.74623,-73.996722,Manhattan,10001,acer platanoides,3,0,0,40.746,-73.9965,0.00022200000000793807,0.00022999999999484544,3.0,2.6,3.0,6.0
34,40.74616,-73.996553,Manhattan,10001,ulmus americana,11,0,0,40.746,-73.9965,5.300000000829641e-05,0.0001600000000010482,3.0,2.6,3.0,6.0
35,40.746112,-73.99644,Manhattan,10001,tilia cordata,14,0,0,40.746,-73.9965,5.999999999062311e-05,0.00011199999999433885,3.0,2.6,3.0,6.0
36,40.746041,-73.996272,Manhattan,10001,pyrus calleryana,3,0,0,40.746,-73.9965,0.00022799999999278953,4.0999999995960934e-05,3.0,2.6,3.0,6.0
37,40.746112,-73.99644,Manhattan,10001,ulmus americana,13,0,0,40.746,-73.9965,5.999999999062311e-05,0.00011199999999433885,3.0,2.6,3.0,6.0
38,40.746136,-73.996498,Manhattan,10001,ulmus americana,13,0,0,40.746,-73.9965,1.9999999949504854e-06,0.00013599999999769352,3.0,2.6,3.0,6.0
39,40.74623,-73.996722,Manhattan,10001,unknown dead trees ,0,0,0,40.746,-73.9965,0.00022200000000793807,0.00022999999999484544,3.0,2.6,3.0,6.0
40,40.746207,-73.996666,Manhattan,10001,acer rubrum,5,0,0,40.746,-73.9965,0.00016600000000721593,0.00020699999999607144,3.0,2.6,3.0,6.0
41,40.7522865,-73.99338058,Manhattan,10001,styphnolobium japonicum,7,0,0,40.752,-73.9935,0.0005056299999921521,0.00010632000000043718,3.0,3.0,5.0,17.0
42,40.7522,-73.993456,Manhattan,10001,unknown live trees ,3,0,0,40.752,-73.9935,4.400000000259752e-05,0.00019999999999953388,3.0,3.0,5.0,17.0
43,40.752232,-73.993561,Manhattan,10001,cornus mas,4,0,0,40.752,-73.9935,6.100000000230921e-05,0.00023199999999690135,3.0,3.0,5.0,17.0
44,40.752208,-73.993506,Manhattan,10001,cornus mas,3,0,0,40.752,-73.9935,5.999999999062311e-06,0.0002080000000006521,3.0,3.0,5.0,17.0
45,40.752208,-73.993506,Manhattan,10001,cornus mas,4,0,0,40.752,-73.9935,5.999999999062311e-06,0.0002080000000006521,3.0,3.0,5.0,17.0
46,40.752077,-73.993195,Manhattan,10001,unknown dead trees ,13,0,0,40.752,-73.9935,0.0003049999999973352,7.699999999744023e-05,3.0,3.0,5.0,17.0
47,40.752208,-73.993506,Manhattan,10001,cornus mas,3,0,0,40.752,-73.9935,5.999999999062311e-06,0.0002080000000006521,3.0,3.0,5.0,17.0
48,40.752279,-73.993674,Manhattan,10001,pyrus calleryana,4,0,0,40.752,-73.9935,0.00017400000000122873,0.00027899999999903,3.0,3.0,5.0,17.0
49,40.752077,-73.993195,Manhattan,10001,cornus mas,6,0,0,40.752,-73.9935,0.0003049999999973352,7.699999999744023e-05,3.0,3.0,5.0,17.0
50,40.752458,-73.993269,Manhattan,10001,pyrus calleryana,7,0,0,40.752,-73.9935,0.0002309999999994261,0.0004579999999947404,3.0,3.0,5.0,17.0
51,40.752265,-73.993409,Manhattan,10001,pyrus calleryana,5,0,0,40.752,-73.9935,9.099999999762076e-05,0.0002649999999988495,3.0,3.0,5.0,17.0
52,40.752265,-73.993409,Manhattan,10001,pyrus calleryana,7,0,0,40.752,-73.9935,9.099999999762076e-05,0.0002649999999988495,3.0,3.0,5.0,17.0
53,40.752037,-73.993575,Manhattan,10001,pyrus calleryana,6,0,0,40.752,-73.9935,7.500000000959517e-05,3.6999999998954536e-05,3.0,3.0,5.0,17.0
54,40.752458,-73.993269,Manhattan,10001,ulmus americana,2,0,0,40.752,-73.9935,0.0002309999999994261,0.0004579999999947404,3.0,3.0,5.0,17.0
55,40.7522,-73.993456,Manhattan,10001,pyrus calleryana,4,0,0,40.752,-73.9935,4.400000000259752e-05,0.00019999999999953388,3.0,3.0,5.0,17.0
56,40.75027684,-73.98740398,Manhattan,10001,pyrus calleryana,7,0,0,40.75,-73.9875,0.0003734200000025112,0.0004002100000022324,3.0,3.0,5.0,13.0
57,40.75027684,-73.98740398,Manhattan,10001,pyrus calleryana,7,1,0,40.75,-73.9875,0.0003734200000025112,0.0004002100000022324,3.0,3.0,5.0,13.0
58,40.75027684,-73.98740398,Manhattan,10001,pyrus calleryana,12,0,0,40.75,-73.9875,0.0003734200000025112,0.0004002100000022324,3.0,3.0,5.0,13.0
59,40.75027684,-73.98740398,Manhattan,10001,pyrus calleryana,15,0,0,40.75,-73.9875,0.0003734200000025112,0.0004002100000022324,3.0,3.0,5.0,13.0
60,40.75027684,-73.98740398,Manhattan,10001,pyrus calleryana,7,0,0,40.75,-73.9875,0.0003734200000025112,0.0004002100000022324,3.0,3.0,5.0,13.0
61,40.749964,-73.987917,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.00041699999999877946,3.600000000147929e-05,3.0,3.0,5.0,13.0
62,40.749964,-73.987917,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.00041699999999877946,3.600000000147929e-05,3.0,3.0,5.0,13.0
63,40.749964,-73.987917,Manhattan,10001,pyrus calleryana,5,0,0,40.75,-73.9875,0.00041699999999877946,3.600000000147929e-05,3.0,3.0,5.0,13.0
64,40.75016,-73.987878,Manhattan,10001,pyrus calleryana,6,0,0,40.75,-73.9875,0.000377999999997769,0.0001600000000010482,3.0,3.0,5.0,13.0
65,40.75016,-73.987878,Manhattan,10001,pyrus calleryana,5,0,0,40.75,-73.9875,0.000377999999997769,0.0001600000000010482,3.0,3.0,5.0,13.0
66,40.749644,-73.987472,Manhattan,10001,cornus mas,4,0,0,40.75,-73.9875,2.800000000036107e-05,0.00035599999999647025,3.0,3.0,5.0,13.0
67,40.749672,-73.987538,Manhattan,10001,cornus mas,4,0,0,40.75,-73.9875,3.8000000003535206e-05,0.0003280000000032146,3.0,3.0,5.0,13.0
68,40.749866,-73.987936,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.0004360000000076525,0.00013400000000274304,3.0,3.0,5.0,13.0
69,40.749964,-73.987917,Manhattan,10001,pyrus calleryana,6,0,0,40.75,-73.9875,0.00041699999999877946,3.600000000147929e-05,3.0,3.0,5.0,13.0
70,40.749866,-73.987936,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.0004360000000076525,0.00013400000000274304,3.0,3.0,5.0,13.0
71,40.749866,-73.987936,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.0004360000000076525,0.00013400000000274304,3.0,3.0,5.0,13.0
72,40.749866,-73.987936,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.0004360000000076525,0.00013400000000274304,3.0,3.0,5.0,13.0
73,40.749866,-73.987936,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.0004360000000076525,0.00013400000000274304,3.0,3.0,5.0,13.0
74,40.749866,-73.987936,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.0004360000000076525,0.00013400000000274304,3.0,3.0,5.0,13.0
75,40.749866,-73.987936,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.0004360000000076525,0.00013400000000274304,3.0,3.0,5.0,13.0
76,40.749866,-73.987936,Manhattan,10001,pyrus calleryana,4,0,0,40.75,-73.9875,0.0004360000000076525,0.00013400000000274304,3.0,3.0,5.0,13.0
77,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,18,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
78,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,14,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
79,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,18,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
80,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,18,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
81,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,15,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
82,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,16,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
83,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,17,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
84,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,19,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
85,40.74766452,-73.99816661,Manhattan,10001,platanus acerifolia,13,0,0,40.7475,-73.9985,0.00011154000000601627,0.00012948999999906619,3.0,3.0,8.0,5.0
86,40.747815,-73.998546,Manhattan,10001,platanus acerifolia,14,0,0,40.7475,-73.9985,4.5999999997548e-05,0.0003150000000005093,2.0,1.7777777777777777,8.0,5.0
87,40.747815,-73.998546,Manhattan,10001,platanus acerifolia,11,0,0,40.7475,-73.9985,4.5999999997548e-05,0.0003150000000005093,2.0,1.7777777777777777,8.0,5.0
88,40.747815,-73.998546,Manhattan,10001,platanus acerifolia,11,0,0,40.7475,-73.9985,4.5999999997548e-05,0.0003150000000005093,2.0,1.7777777777777777,8.0,5.0
89,40.747815,-73.998546,Manhattan,10001,platanus acerifolia,18,0,0,40.7475,-73.9985,4.5999999997548e-05,0.0003150000000005093,2.0,1.7777777777777777,8.0,5.0
90,40.747815,-73.998546,Manhattan,10001,platanus acerifolia,12,0,0,40.7475,-73.9985,4.5999999997548e-05,0.0003150000000005093,2.0,1.7777777777777777,8.0,5.0
91,40.747815,-73.998546,Manhattan,10001,platanus acerifolia,13,0,0,40.7475,-73.9985,4.5999999997548e-05,0.0003150000000005093,2.0,1.7777777777777777,8.0,5.0
92,40.747815,-73.998546,Manhattan,10001,platanus acerifolia,12,0,0,40.7475,-73.9985,4.5999999997548e-05,0.0003150000000005093,2.0,1.7777777777777777,8.0,5.0
